epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.7664,1.66089,3.51699,1.51475,0.02639,0.97917,0.20438,0.1131,1.42564,3.26778,1.35132,8e-05,8e-05,8e-05
2,29.5272,1.52839,3.09643,1.41037,0.02593,1,0.3192,0.1734,1.32279,3.15775,1.22434,0.000167195,0.000167195,0.000167195
3,40.548,1.41285,2.70299,1.31508,0.02387,1,0.37205,0.21203,1.26983,2.92646,1.2017,0.00025142,0.00025142,0.00025142
4,46.3298,1.38304,2.34194,1.32081,0.34599,0.64211,0.49697,0.29713,1.2976,2.72492,1.25848,0.000332675,0.000332675,0.000332675
5,54.3341,1.37561,1.82744,1.32045,0.78205,0.37128,0.64871,0.36803,1.36946,2.56149,1.38035,0.00041096,0.00041096,0.00041096
6,59.2812,1.37661,1.48374,1.34538,0.76689,0.64342,0.72988,0.42128,1.38793,1.9892,1.36664,0.000486275,0.000486275,0.000486275
7,66.553,1.33963,1.27498,1.33192,0.96574,0.63681,0.87624,0.53772,1.32081,1.54163,1.307,0.00055862,0.00055862,0.00055862
8,72.213,1.33928,1.17154,1.32231,0.8569,0.87835,0.95449,0.5914,1.40492,1.21888,1.37276,0.000627995,0.000627995,0.000627995
9,80.59,1.26924,1.05486,1.27357,0.83019,0.88652,0.98661,0.59358,1.40294,1.1095,1.35962,0.0006944,0.0006944,0.0006944
10,85.283,1.24043,0.97221,1.26258,0.87145,0.93927,0.9933,0.5946,1.41143,1.01908,1.35588,0.000757835,0.000757835,0.000757835
11,93.9965,1.25657,0.97573,1.25411,0.85677,0.91586,0.99262,0.56165,1.51421,1.05292,1.41124,0.0008183,0.0008183,0.0008183
12,99.6745,1.22867,0.92905,1.21507,0.9777,1,0.995,0.62463,1.31547,0.84838,1.2686,0.0008185,0.0008185,0.0008185
